,Show ID,Show Name,Genre,TV-Rating,Description,Available on Hulu,Available on Netflix
99,80214115,Argon,"International TV Shows, Korean TV Shows, TV Dramas",TV-MA,"In a world filled with provocative (and often misleading) news, a passionate team of investigative TV reporters strives to bring truths to light.",No,Yes
100,80192842,Ari Shaffir: Double Negative,Stand-Up Comedy & Talk Shows,TV-MA,"Wry yet thoughtful, comedian Ari Shaffir brings his edgy humor to two fast-paced stand-up specials about children and adulthood.",No,Yes
101,70140358,Arrested Development,TV Comedies,TV-14,"It's the Emmy-winning story of a wealthy family that lost everything, and the one son who had no choice but to keep them all together.",No,Yes
102,70242081,Arrow,"Crime TV Shows, TV Action & Adventure",TV-14,"Based on DC Comics' Green Arrow, an affluent playboy becomes a vengeful superhero, saving the city from villains armed with just a bow and arrows.",No,Yes
103,81028895,Arthdal Chronicles,"International TV Shows, Korean TV Shows, TV Action & Adventure",TV-14,"In a mythical land called Arth, the inhabitants of the ancient city of Arthdal and its surrounding regions vie for power as they build a new society.",No,Yes
104,80049277,Ash vs. Evil Dead,"TV Action & Adventure, TV Comedies, TV Horror",TV-MA,"Thirty years later, Ash Williams – demon hunter par excellence – is back to battle a new Deadite plague. He may have lost a hand, but not his touch.",No,Yes
105,81026363,Ashes of Love,"International TV Shows, Romantic TV Shows, TV Comedies",TV-PG,"Hidden away by her mother, the Floral Goddess, the naïve Jinmi is drawn to Xufeng, the Heavenly Emperor's son. Yet forces conspire against them.",No,Yes
106,81003997,Ask the Doctor,"Docuseries, International TV Shows, Science & Nature TV",TV-PG,"From allergies to diet to sleep, three friendly doctors share expert advice, bust medical myths and test the latest treatments.",No,Yes
107,80108159,Ask the StoryBots,Kids' TV,TV-Y,"Five curious little creatures track down the answers to kids' biggest questions, like how night happens or why we need to brush our teeth.",No,Yes
108,81087498,Astronomy Club: The Sketch Show,TV Comedies,TV-MA,"With unique individual perspectives that converge into a unified voice, sketch comedy group Astronomy Club delivers a smart and absurd brand of humor.",No,Yes
109,81179844,At the Dolphin Bay,"International TV Shows, Romantic TV Shows",TV-14,"Encountering each other after a long separation, two childhood friends from orphanage must overcome great odds to fulfill an old promise and find love.",No,Yes
110,80067618,Atelier,"International TV Shows, TV Dramas",TV-PG,"A young ""fabric geek"" lands a job at an upscale Japanese lingerie company – and quickly discovers she'll need help to survive.",No,Yes
111,80208746,Atomic Puppet,"Crime TV Shows, Kids' TV, TV Comedies",TV-Y7-FV,"Captain Atomic – once a superhero, now a sock puppet – can only activate his powers with the help of Joey, his new partner and biggest fan.",No,Yes
112,70299043,Attack on Titan,"Anime Series, International TV Shows",TV-MA,"With his hometown in ruins, young Eren Yeager becomes determined to fight back against the giant Titans that threaten to destroy the human race.",No,Yes
113,80117540,Atypical,"TV Comedies, TV Dramas, Teen TV Shows",TV-MA,"When a teen on the autism spectrum decides to get a girlfriend, his bid for more independence puts his whole family on a path of self-discovery.",No,Yes
114,80185803,Aussie Gold Hunters,"Docuseries, International TV Shows, Reality TV",TV-MA,Three teams of gold hunters battle all manner of challenges while pursuing their dreams in the Australian Outback.,No,Yes
115,70303287,Autumn's Concerto,"International TV Shows, Romantic TV Shows, TV Dramas",TV-14,"After losing all memories of his past, a wealthy lawyer travels to a rural village where a woman he once loved now lives with her son.",No,Yes
116,80213322,Awake: The Million Dollar Game,Reality TV,TV-PG,"Sleepless for 24 hours, contestants in the comedy game show stumble through challenges both eccentric and everyday for a chance at a $1 million prize.",No,Yes
117,80180684,Away From Home,"International TV Shows, TV Dramas",TV-PG,A high-achieving 11-year-old student embarks on a journey of self-discovery at a school on a nearby island as he grapples with tensions at home.,No,Yes
118,80097594,B: The Beginning,"Anime Series, Crime TV Shows, International TV Shows",TV-MA,"Genius investigator Keith Flick rejoins the royal police force just as serial killer ""B"" emerges. Mysterious youth Koku may be an ally, or a target.",No,Yes
119,80204451,BAKI,"Anime Series, International TV Shows",TV-MA,"While martial arts champion Baki Hanma trains hard to surpass his legendary father, five violent death row inmates descend upon Tokyo to take him on.",No,Yes
120,81004814,BONDING,"TV Comedies, TV Dramas",TV-MA,A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.,No,Yes
121,80211634,Baby,"International TV Shows, TV Dramas, Teen TV Shows",TV-MA,"Fed up with their families and classmates, two teen girls from a wealthy part of Rome are drawn to the city's underworld and start leading double lives.",No,Yes
122,80217151,Baby Ballroom,"British TV Shows, International TV Shows, Reality TV",TV-14,"Step into the cutthroat world of kids' ballroom dancing, where ambitious instructors, proud parents and pint-sized performers waltz to win.",No,Yes
123,80136321,Babylon Berlin,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,A Soviet freight train's hijacking leads a haunted cop and a poor typist to uncover a political conspiracy amid the vice and glamour of 1929 Berlin.,No,Yes
124,80996957,Back Street Girls -GOKUDOLS-,"Anime Series, International TV Shows",TV-MA,"To pay for an epic blunder, three yakuza brothers are forced to alter their bodies, form a girl group and break into the underground J-Pop idol scene.",No,Yes
125,80134109,Back to 1989,"International TV Shows, Romantic TV Shows, TV Comedies",TV-14,"A young man who's learned nothing about his father from his single mom has a freak accident that sends him back to 1989, the year before he was born.",No,Yes
126,80210995,Back with the Ex,"International TV Shows, Reality TV, Romantic TV Shows",TV-MA,New beginnings or old baggage? Four singles have one chance to reignite romance with an ex – or leave the past behind for good.,No,Yes
127,80221787,Bad Blood,"Crime TV Shows, TV Dramas",TV-MA,"This sprawling crime drama follows the true story of the Rizzuto family and its associates, who presided over organized crime in Montreal for decades.",No,Yes
